"","SRR6898209","SRR6898210","SRR8094748","SRR8094749","SRR8094750","SRR8094751","SRR6898193","SRR6898194","SRR6898195","SRR6898211"
"RP11-158M2.5",0,0,5,3,4,0,16,0,13,4
"KLHL25",218,219,414,182,189,47,1312,189,255,106
"RP11-553E24.3",0,0,0,0,0,0,0,0,0,0
"RP11-553E24.2",0,0,0,0,0,0,0,0,0,0
"AGBL1",2,0,0,0,0,0,0,0,0,0
"AGBL1-AS1",0,0,0,0,0,0,0,0,0,0
"RP11-182L7.1",0,0,0,0,0,0,0,0,0,0
"RP11-133L19.1",0,0,0,0,0,0,0,0,0,0
"RP11-138H10.2",0,0,0,0,0,0,0,0,0,0
"RP11-648K4.2",0,0,0,0,0,0,0,0,0,0
"LINC00052",0,0,0,0,0,0,0,0,0,0
"NTRK3",2,46,36,12,10,0,0,0,0,49
"NTRK3-AS1",0,0,0,0,0,0,0,0,0,0
"MRPL46",490,505,484,684,1036,1218,755,856,956,1063
"MRPS11",812,756,557,795,804,921,675,453,543,645
"DET1",106,177,50,54,48,42,45,151,52,74
"RP11-97O12.2",0,0,0,0,0,0,0,0,0,1
"AEN",1447,2102,368,212,249,202,451,269,242,180
"ISG20",36,90,516,284,251,123,366,124,154,73
"RP11-343B18.2",0,0,0,0,0,0,0,0,0,0
"ACAN",6,2,0,0,2,0,2,0,0,0
"HAPLN3",39,64,68,32,30,0,8,20,2,2
"MFGE8",2897,2987,665,200,282,62,530,145,78,94
"RP11-326A19.4",2,0,0,0,0,0,0,0,0,0
"RP11-326A19.3",0,0,0,2,4,2,1,0,2,0
"ABHD2",3798,3759,3980,2166,2556,2236,6018,10963,8023,8585
"RLBP1",0,0,0,0,0,0,0,0,0,0
"FANCI",405,1178,19,38,30,44,38,110,37,43
"POLG",1402,1522,779,567,858,634,1109,1279,849,564
"RP11-217B1.2",0,9,2,2,4,2,0,2,4,2
"LINC00925",0,0,0,2,0,0,6,2,0,0
"RHCG",8,0,16,12,34,10,7,10,8,4
"LINC00928",0,0,0,0,0,0,0,0,0,0
"RP11-429B14.4",0,0,0,0,0,0,0,0,0,0
"TICRR",150,324,4,4,9,0,6,10,0,7
"RP11-429B14.3",0,0,0,0,0,0,0,0,0,0
"KIF7",121,138,48,21,71,6,12,28,14,17
"PLIN1",18,35,225,363,354,159,254,486,487,332
"PEX11A",284,304,310,376,524,553,409,1039,639,1120
"WDR93",8,0,2,0,8,0,0,3,0,5
"MESP1",14,4,62,108,155,44,12,38,24,16
"MESP2",4,2,8,8,0,0,0,4,4,0
"ANPEP",6596,6234,10632,10167,8597,3686,15130,15594,12655,7232
"AP3S2",410,438,165,177,327,232,260,402,436,304
"C15orf38-AP3S2",0,0,0,0,0,0,0,0,0,0
"C15orf38",161,324,72,123,187,36,116,203,84,106
"ZNF710",492,707,132,301,285,64,477,271,131,83
"RP11-617F23.1",15,19,51,25,21,27,75,15,32,4
"IDH2",2376,3107,4845,6952,6097,4217,13251,2471,4558,2684
"CTD-2315E11.1",0,0,2,2,1,0,8,0,3,0
"SEMA4B",1044,821,1262,517,964,332,2584,704,1933,363
"CIB1",1765,2145,1844,2577,2207,1288,1597,1355,1498,1003
"GDPGP1",84,66,60,66,56,37,49,79,52,26
"RP11-697E2.4",2,0,2,0,4,0,2,0,4,2
"TTLL13",1,0,0,4,0,0,2,0,0,0
"RP11-697E2.6",3,3,4,0,0,0,4,4,2,0
"NGRN",404,500,281,331,300,302,306,285,203,278
"GABARAPL3",0,0,2,2,2,0,4,6,4,0
"ZNF774",51,54,12,6,18,26,15,30,15,14
"IQGAP1",2054,1558,890,555,525,146,1170,794,51,282
"RP11-154B12.3",0,0,0,0,2,0,0,4,0,0
"CRTC3",335,376,368,339,311,151,484,365,390,217
"CTD-3065B20.2",6,2,2,2,0,2,0,5,3,0
"CTD-3065B20.3",1,1,0,0,0,1,0,1,4,1
"RP11-387D10.2",2,2,2,2,0,4,0,6,2,4
"BLM",88,327,22,10,6,4,16,14,2,34
"FURIN",6107,5805,16609,13414,18365,10389,23861,18822,16103,10051
"FES",42,15,1406,1179,1309,790,1045,1045,708,373
"MAN2A2",1530,1891,1298,879,1438,834,2001,1913,2099,1100
"AC068831.15",0,0,0,0,0,0,0,0,0,0
